"geoid","county","state","language","estimate"
"47001","Anderson County","Tennessee","total_pop",76978
"47001","Anderson County","Tennessee","langTotal",NA
"47001","Anderson County","Tennessee","english",NA
"47001","Anderson County","Tennessee","spanish",NA
"47001","Anderson County","Tennessee","spEngless",NA
"47001","Anderson County","Tennessee","frHaitcaj",NA
"47001","Anderson County","Tennessee","frEngless",NA
"47001","Anderson County","Tennessee","germanic",NA
"47001","Anderson County","Tennessee","gerEngless",NA
"47001","Anderson County","Tennessee","rusPolslav",NA
"47001","Anderson County","Tennessee","rusEngless",NA
"47001","Anderson County","Tennessee","othrIndoeuro",NA
"47001","Anderson County","Tennessee","indeuroEngless",NA
"47001","Anderson County","Tennessee","korean",NA
"47001","Anderson County","Tennessee","korEngless",NA
"47001","Anderson County","Tennessee","chinese",NA
"47001","Anderson County","Tennessee","chEngless",NA
"47001","Anderson County","Tennessee","vietnamese",NA
"47001","Anderson County","Tennessee","vietEngless",NA
"47001","Anderson County","Tennessee","tagalog",NA
"47001","Anderson County","Tennessee","tgEngless",NA
"47001","Anderson County","Tennessee","othrPaci",NA
"47001","Anderson County","Tennessee","paciEngless",NA
"47001","Anderson County","Tennessee","arabic",NA
"47001","Anderson County","Tennessee","arEngless",NA
"47001","Anderson County","Tennessee","othrUnspec",NA
"47001","Anderson County","Tennessee","unspecEngless",NA
"47009","Blount County","Tennessee","total_pop",133088
"47009","Blount County","Tennessee","langTotal",NA
"47009","Blount County","Tennessee","english",NA
"47009","Blount County","Tennessee","spanish",NA
"47009","Blount County","Tennessee","spEngless",NA
"47009","Blount County","Tennessee","frHaitcaj",NA
"47009","Blount County","Tennessee","frEngless",NA
"47009","Blount County","Tennessee","germanic",NA
"47009","Blount County","Tennessee","gerEngless",NA
"47009","Blount County","Tennessee","rusPolslav",NA
"47009","Blount County","Tennessee","rusEngless",NA
"47009","Blount County","Tennessee","othrIndoeuro",NA
"47009","Blount County","Tennessee","indeuroEngless",NA
"47009","Blount County","Tennessee","korean",NA
"47009","Blount County","Tennessee","korEngless",NA
"47009","Blount County","Tennessee","chinese",NA
"47009","Blount County","Tennessee","chEngless",NA
"47009","Blount County","Tennessee","vietnamese",NA
"47009","Blount County","Tennessee","vietEngless",NA
"47009","Blount County","Tennessee","tagalog",NA
"47009","Blount County","Tennessee","tgEngless",NA
"47009","Blount County","Tennessee","othrPaci",NA
"47009","Blount County","Tennessee","paciEngless",NA
"47009","Blount County","Tennessee","arabic",NA
"47009","Blount County","Tennessee","arEngless",NA
"47009","Blount County","Tennessee","othrUnspec",NA
"47009","Blount County","Tennessee","unspecEngless",NA
"47011","Bradley County","Tennessee","total_pop",108110
"47011","Bradley County","Tennessee","langTotal",NA
"47011","Bradley County","Tennessee","english",NA
"47011","Bradley County","Tennessee","spanish",NA
"47011","Bradley County","Tennessee","spEngless",NA
"47011","Bradley County","Tennessee","frHaitcaj",NA
"47011","Bradley County","Tennessee","frEngless",NA
"47011","Bradley County","Tennessee","germanic",NA
"47011","Bradley County","Tennessee","gerEngless",NA
"47011","Bradley County","Tennessee","rusPolslav",NA
"47011","Bradley County","Tennessee","rusEngless",NA
"47011","Bradley County","Tennessee","othrIndoeuro",NA
"47011","Bradley County","Tennessee","indeuroEngless",NA
"47011","Bradley County","Tennessee","korean",NA
"47011","Bradley County","Tennessee","korEngless",NA
"47011","Bradley County","Tennessee","chinese",NA
"47011","Bradley County","Tennessee","chEngless",NA
"47011","Bradley County","Tennessee","vietnamese",NA
"47011","Bradley County","Tennessee","vietEngless",NA
"47011","Bradley County","Tennessee","tagalog",NA
"47011","Bradley County","Tennessee","tgEngless",NA
"47011","Bradley County","Tennessee","othrPaci",NA
"47011","Bradley County","Tennessee","paciEngless",NA
"47011","Bradley County","Tennessee","arabic",NA
"47011","Bradley County","Tennessee","arEngless",NA
"47011","Bradley County","Tennessee","othrUnspec",NA
"47011","Bradley County","Tennessee","unspecEngless",NA
"47037","Davidson County","Tennessee","total_pop",694144
"47037","Davidson County","Tennessee","langTotal",648085
"47037","Davidson County","Tennessee","english",531651
"47037","Davidson County","Tennessee","spanish",59836
"47037","Davidson County","Tennessee","spEngless",36026
"47037","Davidson County","Tennessee","frHaitcaj",3767
"47037","Davidson County","Tennessee","frEngless",1173
"47037","Davidson County","Tennessee","germanic",871
"47037","Davidson County","Tennessee","gerEngless",0
"47037","Davidson County","Tennessee","rusPolslav",2814
"47037","Davidson County","Tennessee","rusEngless",908
"47037","Davidson County","Tennessee","othrIndoeuro",12528
