"geoid","county","state","gender","edulevel","race","estimate"
"47001","Anderson County","Tennessee","all","total","anglo",50566
"47001","Anderson County","Tennessee","male","total","anglo",24166
"47001","Anderson County","Tennessee","male","hs","anglo",6830
"47001","Anderson County","Tennessee","male","somecollege","anglo",4847
"47001","Anderson County","Tennessee","male","associate","anglo",2401
"47001","Anderson County","Tennessee","male","bachelor","anglo",2792
"47001","Anderson County","Tennessee","male","gradprof","anglo",2315
"47001","Anderson County","Tennessee","female","total","anglo",26400
"47001","Anderson County","Tennessee","female","hs","anglo",7231
"47001","Anderson County","Tennessee","female","somecollege","anglo",5716
"47001","Anderson County","Tennessee","female","associate","anglo",2733
"47001","Anderson County","Tennessee","female","bachelor","anglo",3502
"47001","Anderson County","Tennessee","female","gradprof","anglo",1943
"47001","Anderson County","Tennessee","all","total","aframer",NA
"47001","Anderson County","Tennessee","male","total","aframer",NA
"47001","Anderson County","Tennessee","male","hs","aframer",NA
"47001","Anderson County","Tennessee","male","somecollege","aframer",NA
"47001","Anderson County","Tennessee","male","associate","aframer",NA
"47001","Anderson County","Tennessee","male","bachelor","aframer",NA
"47001","Anderson County","Tennessee","male","gradprof","aframer",NA
"47001","Anderson County","Tennessee","female","total","aframer",NA
"47001","Anderson County","Tennessee","female","hs","aframer",NA
"47001","Anderson County","Tennessee","female","somecollege","aframer",NA
"47001","Anderson County","Tennessee","female","associate","aframer",NA
"47001","Anderson County","Tennessee","female","bachelor","aframer",NA
"47001","Anderson County","Tennessee","female","gradprof","aframer",NA
"47001","Anderson County","Tennessee","all","total","native",NA
"47001","Anderson County","Tennessee","male","total","native",NA
"47001","Anderson County","Tennessee","male","hs","native",NA
"47001","Anderson County","Tennessee","male","somecollege","native",NA
"47001","Anderson County","Tennessee","male","associate","native",NA
"47001","Anderson County","Tennessee","male","bachelor","native",NA
"47001","Anderson County","Tennessee","male","gradprof","native",NA
"47001","Anderson County","Tennessee","female","total","native",NA
"47001","Anderson County","Tennessee","female","hs","native",NA
"47001","Anderson County","Tennessee","female","somecollege","native",NA
"47001","Anderson County","Tennessee","female","associate","native",NA
"47001","Anderson County","Tennessee","female","bachelor","native",NA
"47001","Anderson County","Tennessee","female","gradprof","native",NA
"47001","Anderson County","Tennessee","all","total","asian",NA
"47001","Anderson County","Tennessee","male","total","asian",NA
"47001","Anderson County","Tennessee","male","hs","asian",NA
"47001","Anderson County","Tennessee","male","somecollege","asian",NA
"47001","Anderson County","Tennessee","male","associate","asian",NA
