"geoid","county","state","gender","edulevel","estimate"
"47001","Anderson County","Tennessee","all","total",55758
"47001","Anderson County","Tennessee","male","total",26476
"47001","Anderson County","Tennessee","male","noschool",58
"47001","Anderson County","Tennessee","male","hsorequi",9663
"47001","Anderson County","Tennessee","male","somecollege",4349
"47001","Anderson County","Tennessee","male","associate",2437
"47001","Anderson County","Tennessee","male","bachelor",3220
"47001","Anderson County","Tennessee","male","master",1454
"47001","Anderson County","Tennessee","male","profschool",373
"47001","Anderson County","Tennessee","male","doctor",869
"47001","Anderson County","Tennessee","female","total",29282
"47001","Anderson County","Tennessee","female","noschool",627
"47001","Anderson County","Tennessee","female","hsorequi",10673
"47001","Anderson County","Tennessee","female","somecollege",4143
"47001","Anderson County","Tennessee","female","associate",3184
"47001","Anderson County","Tennessee","female","bachelor",3647
"47001","Anderson County","Tennessee","female","master",1904
"47001","Anderson County","Tennessee","female","profschool",0
"47001","Anderson County","Tennessee","female","doctor",430
"47009","Blount County","Tennessee","all","total",96046
"47009","Blount County","Tennessee","male","total",45687
"47009","Blount County","Tennessee","male","noschool",296
"47009","Blount County","Tennessee","male","hsorequi",18261
"47009","Blount County","Tennessee","male","somecollege",6581
"47009","Blount County","Tennessee","male","associate",2303
"47009","Blount County","Tennessee","male","bachelor",5931
"47009","Blount County","Tennessee","male","master",2218
"47009","Blount County","Tennessee","male","profschool",299
"47009","Blount County","Tennessee","male","doctor",925
"47009","Blount County","Tennessee","female","total",50359
"47009","Blount County","Tennessee","female","noschool",391
"47009","Blount County","Tennessee","female","hsorequi",16583
"47009","Blount County","Tennessee","female","somecollege",7010
"47009","Blount County","Tennessee","female","associate",3481
"47009","Blount County","Tennessee","female","bachelor",8142
"47009","Blount County","Tennessee","female","master",4036
"47009","Blount County","Tennessee","female","profschool",499
"47009","Blount County","Tennessee","female","doctor",285
"47011","Bradley County","Tennessee","all","total",75366
"47011","Bradley County","Tennessee","male","total",35993
"47011","Bradley County","Tennessee","male","noschool",207
"47011","Bradley County","Tennessee","male","hsorequi",13782
"47011","Bradley County","Tennessee","male","somecollege",4757
"47011","Bradley County","Tennessee","male","associate",2352
"47011","Bradley County","Tennessee","male","bachelor",5511
"47011","Bradley County","Tennessee","male","master",961
"47011","Bradley County","Tennessee","male","profschool",371
"47011","Bradley County","Tennessee","male","doctor",642
"47011","Bradley County","Tennessee","female","total",39373
"47011","Bradley County","Tennessee","female","noschool",461
"47011","Bradley County","Tennessee","female","hsorequi",11548
"47011","Bradley County","Tennessee","female","somecollege",5648
"47011","Bradley County","Tennessee","female","associate",2966
"47011","Bradley County","Tennessee","female","bachelor",6750
"47011","Bradley County","Tennessee","female","master",2111
"47011","Bradley County","Tennessee","female","profschool",277
"47011","Bradley County","Tennessee","female","doctor",361
"47037","Davidson County","Tennessee","all","total",483895
"47037","Davidson County","Tennessee","male","total",229819
"47037","Davidson County","Tennessee","male","noschool",3318
"47037","Davidson County","Tennessee","male","hsorequi",46910
"47037","Davidson County","Tennessee","male","somecollege",32986
"47037","Davidson County","Tennessee","male","associate",13590
"47037","Davidson County","Tennessee","male","bachelor",63123
"47037","Davidson County","Tennessee","male","master",20999
"47037","Davidson County","Tennessee","male","profschool",8211
"47037","Davidson County","Tennessee","male","doctor",6912
"47037","Davidson County","Tennessee","female","total",254076
"47037","Davidson County","Tennessee","female","noschool",3594
"47037","Davidson County","Tennessee","female","hsorequi",49019
"47037","Davidson County","Tennessee","female","somecollege",31218
"47037","Davidson County","Tennessee","female","associate",16739
"47037","Davidson County","Tennessee","female","bachelor",73984
"47037","Davidson County","Tennessee","female","master",33308
"47037","Davidson County","Tennessee","female","profschool",7790
"47037","Davidson County","Tennessee","female","doctor",6632
"47059","Greene County","Tennessee","all","total",50371
"47059","Greene County","Tennessee","male","total",24124
"47059","Greene County","Tennessee","male","noschool",414
"47059","Greene County","Tennessee","male","hsorequi",10752
"47059","Greene County","Tennessee","male","somecollege",2768
"47059","Greene County","Tennessee","male","associate",1801
"47059","Greene County","Tennessee","male","bachelor",1773
"47059","Greene County","Tennessee","male","master",1305
"47059","Greene County","Tennessee","male","profschool",264
"47059","Greene County","Tennessee","male","doctor",331
"47059","Greene County","Tennessee","female","total",26247
"47059","Greene County","Tennessee","female","noschool",382
"47059","Greene County","Tennessee","female","hsorequi",10205
"47059","Greene County","Tennessee","female","somecollege",2534
"47059","Greene County","Tennessee","female","associate",1390
"47059","Greene County","Tennessee","female","bachelor",3858
"47059","Greene County","Tennessee","female","master",1315
"47059","Greene County","Tennessee","female","profschool",392
"47059","Greene County","Tennessee","female","doctor",339
"47065","Hamilton County","Tennessee","all","total",259208
"47065","Hamilton County","Tennessee","male","total",123127
"47065","Hamilton County","Tennessee","male","noschool",687
"47065","Hamilton County","Tennessee","male","hsorequi",31066
"47065","Hamilton County","Tennessee","male","somecollege",18620
"47065","Hamilton County","Tennessee","male","associate",9678
"47065","Hamilton County","Tennessee","male","bachelor",26828
"47065","Hamilton County","Tennessee","male","master",10099
"47065","Hamilton County","Tennessee","male","profschool",3339
"47065","Hamilton County","Tennessee","male","doctor",2270
"47065","Hamilton County","Tennessee","female","total",136081
"47065","Hamilton County","Tennessee","female","noschool",934
"47065","Hamilton County","Tennessee","female","hsorequi",31312
"47065","Hamilton County","Tennessee","female","somecollege",20581
"47065","Hamilton County","Tennessee","female","associate",13625
"47065","Hamilton County","Tennessee","female","bachelor",31289
"47065","Hamilton County","Tennessee","female","master",13591
"47065","Hamilton County","Tennessee","female","profschool",2163
"47065","Hamilton County","Tennessee","female","doctor",1434
"47093","Knox County","Tennessee","all","total",316983
"47093","Knox County","Tennessee","male","total",149805
"47093","Knox County","Tennessee","male","noschool",714
"47093","Knox County","Tennessee","male","hsorequi",39105
"47093","Knox County","Tennessee","male","somecollege",21518
"47093","Knox County","Tennessee","male","associate",11124
"47093","Knox County","Tennessee","male","bachelor",32660
"47093","Knox County","Tennessee","male","master",14264
"47093","Knox County","Tennessee","male","profschool",6235
"47093","Knox County","Tennessee","male","doctor",4085
"47093","Knox County","Tennessee","female","total",167178
"47093","Knox County","Tennessee","female","noschool",1036
"47093","Knox County","Tennessee","female","hsorequi",41697
"47093","Knox County","Tennessee","female","somecollege",23482
"47093","Knox County","Tennessee","female","associate",16744
"47093","Knox County","Tennessee","female","bachelor",38484
"47093","Knox County","Tennessee","female","master",17610
"47093","Knox County","Tennessee","female","profschool",3352
"47093","Knox County","Tennessee","female","doctor",2730
"47113","Madison County","Tennessee","all","total",65367
"47113","Madison County","Tennessee","male","total",29856
"47113","Madison County","Tennessee","male","noschool",105
"47113","Madison County","Tennessee","male","hsorequi",9874
"47113","Madison County","Tennessee","male","somecollege",3845
"47113","Madison County","Tennessee","male","associate",1392
"47113","Madison County","Tennessee","male","bachelor",5186
"47113","Madison County","Tennessee","male","master",1366
"47113","Madison County","Tennessee","male","profschool",838
"47113","Madison County","Tennessee","male","doctor",646
"47113","Madison County","Tennessee","female","total",35511
"47113","Madison County","Tennessee","female","noschool",289
"47113","Madison County","Tennessee","female","hsorequi",12383
"47113","Madison County","Tennessee","female","somecollege",4731
"47113","Madison County","Tennessee","female","associate",3223
"47113","Madison County","Tennessee","female","bachelor",5821
"47113","Madison County","Tennessee","female","master",3512
"47113","Madison County","Tennessee","female","profschool",291
"47113","Madison County","Tennessee","female","doctor",86
"47119","Maury County","Tennessee","all","total",66799
