"geoid","county","state","race","estimate","ethnicity"
"47001","Anderson County","Tennessee","total",NA,"nonHisp"
"47001","Anderson County","Tennessee","white",NA,"nonHisp"
"47001","Anderson County","Tennessee","afam",NA,"nonHisp"
"47001","Anderson County","Tennessee","natv",NA,"nonHisp"
"47001","Anderson County","Tennessee","asam",NA,"nonHisp"
"47001","Anderson County","Tennessee","paci",NA,"nonHisp"
"47001","Anderson County","Tennessee","othr",NA,"nonHisp"
"47001","Anderson County","Tennessee","mixd",NA,"nonHisp"
"47001","Anderson County","Tennessee","total",NA,"Hisp"
"47001","Anderson County","Tennessee","white",NA,"Hisp"
"47001","Anderson County","Tennessee","afam",NA,"Hisp"
"47001","Anderson County","Tennessee","natv",NA,"Hisp"
"47001","Anderson County","Tennessee","asam",NA,"Hisp"
"47001","Anderson County","Tennessee","paci",NA,"Hisp"
"47001","Anderson County","Tennessee","othr",NA,"Hisp"
"47001","Anderson County","Tennessee","mixd",NA,"Hisp"
"47009","Blount County","Tennessee","total",133088,NA
"47009","Blount County","Tennessee","total",NA,"nonHisp"
"47009","Blount County","Tennessee","white",NA,"nonHisp"
"47009","Blount County","Tennessee","afam",NA,"nonHisp"
"47009","Blount County","Tennessee","natv",NA,"nonHisp"
"47009","Blount County","Tennessee","asam",NA,"nonHisp"
"47009","Blount County","Tennessee","paci",NA,"nonHisp"
"47009","Blount County","Tennessee","othr",NA,"nonHisp"
"47009","Blount County","Tennessee","mixd",NA,"nonHisp"
"47009","Blount County","Tennessee","total",NA,"Hisp"
"47009","Blount County","Tennessee","white",NA,"Hisp"
"47009","Blount County","Tennessee","afam",NA,"Hisp"
"47009","Blount County","Tennessee","natv",NA,"Hisp"
"47009","Blount County","Tennessee","asam",NA,"Hisp"
"47009","Blount County","Tennessee","paci",NA,"Hisp"
"47009","Blount County","Tennessee","othr",NA,"Hisp"
"47009","Blount County","Tennessee","mixd",NA,"Hisp"
"47011","Bradley County","Tennessee","total",108110,NA
"47011","Bradley County","Tennessee","total",NA,"nonHisp"
"47011","Bradley County","Tennessee","white",NA,"nonHisp"
"47011","Bradley County","Tennessee","afam",NA,"nonHisp"
"47011","Bradley County","Tennessee","natv",NA,"nonHisp"
"47011","Bradley County","Tennessee","asam",NA,"nonHisp"
"47011","Bradley County","Tennessee","paci",NA,"nonHisp"
"47011","Bradley County","Tennessee","othr",NA,"nonHisp"
"47011","Bradley County","Tennessee","mixd",NA,"nonHisp"
"47011","Bradley County","Tennessee","total",NA,"Hisp"
"47011","Bradley County","Tennessee","white",NA,"Hisp"
"47011","Bradley County","Tennessee","afam",NA,"Hisp"
"47011","Bradley County","Tennessee","natv",NA,"Hisp"
"47011","Bradley County","Tennessee","asam",NA,"Hisp"
"47011","Bradley County","Tennessee","paci",NA,"Hisp"
"47011","Bradley County","Tennessee","othr",NA,"Hisp"
"47011","Bradley County","Tennessee","mixd",NA,"Hisp"
"47037","Davidson County","Tennessee","total",694144,NA
"47037","Davidson County","Tennessee","total",621926,"nonHisp"
"47037","Davidson County","Tennessee","white",388932,"nonHisp"
"47037","Davidson County","Tennessee","afam",185133,"nonHisp"
"47037","Davidson County","Tennessee","natv",2053,"nonHisp"
"47037","Davidson County","Tennessee","asam",26111,"nonHisp"
"47037","Davidson County","Tennessee","paci",787,"nonHisp"
"47037","Davidson County","Tennessee","othr",3420,"nonHisp"
"47037","Davidson County","Tennessee","mixd",15490,"nonHisp"
"47037","Davidson County","Tennessee","total",72218,"Hisp"
"47037","Davidson County","Tennessee","white",50078,"Hisp"
"47037","Davidson County","Tennessee","afam",713,"Hisp"
"47037","Davidson County","Tennessee","natv",0,"Hisp"
"47037","Davidson County","Tennessee","asam",82,"Hisp"
"47037","Davidson County","Tennessee","paci",0,"Hisp"
"47037","Davidson County","Tennessee","othr",20304,"Hisp"
"47037","Davidson County","Tennessee","mixd",1041,"Hisp"
"47059","Greene County","Tennessee","total",69069,NA
"47059","Greene County","Tennessee","total",NA,"nonHisp"
"47059","Greene County","Tennessee","white",NA,"nonHisp"
"47059","Greene County","Tennessee","afam",NA,"nonHisp"
"47059","Greene County","Tennessee","natv",NA,"nonHisp"
"47059","Greene County","Tennessee","asam",NA,"nonHisp"
"47059","Greene County","Tennessee","paci",NA,"nonHisp"
"47059","Greene County","Tennessee","othr",NA,"nonHisp"
"47059","Greene County","Tennessee","mixd",NA,"nonHisp"
"47059","Greene County","Tennessee","total",NA,"Hisp"
"47059","Greene County","Tennessee","white",NA,"Hisp"
"47059","Greene County","Tennessee","afam",NA,"Hisp"
"47059","Greene County","Tennessee","natv",NA,"Hisp"
"47059","Greene County","Tennessee","asam",NA,"Hisp"
"47059","Greene County","Tennessee","paci",NA,"Hisp"
"47059","Greene County","Tennessee","othr",NA,"Hisp"
"47059","Greene County","Tennessee","mixd",NA,"Hisp"
"47065","Hamilton County","Tennessee","total",367804,NA
"47065","Hamilton County","Tennessee","total",NA,"nonHisp"
"47065","Hamilton County","Tennessee","white",NA,"nonHisp"
"47065","Hamilton County","Tennessee","afam",NA,"nonHisp"
"47065","Hamilton County","Tennessee","natv",NA,"nonHisp"
"47065","Hamilton County","Tennessee","asam",NA,"nonHisp"
"47065","Hamilton County","Tennessee","paci",NA,"nonHisp"
"47065","Hamilton County","Tennessee","othr",NA,"nonHisp"
"47065","Hamilton County","Tennessee","mixd",NA,"nonHisp"
"47065","Hamilton County","Tennessee","total",NA,"Hisp"
"47065","Hamilton County","Tennessee","white",NA,"Hisp"
"47065","Hamilton County","Tennessee","afam",NA,"Hisp"
"47065","Hamilton County","Tennessee","natv",NA,"Hisp"
"47065","Hamilton County","Tennessee","asam",NA,"Hisp"
"47065","Hamilton County","Tennessee","paci",NA,"Hisp"
"47065","Hamilton County","Tennessee","othr",NA,"Hisp"
"47065","Hamilton County","Tennessee","mixd",NA,"Hisp"
"47093","Knox County","Tennessee","total",470313,NA
"47093","Knox County","Tennessee","total",448849,"nonHisp"
"47093","Knox County","Tennessee","white",384631,"nonHisp"
"47093","Knox County","Tennessee","afam",38377,"nonHisp"
"47093","Knox County","Tennessee","natv",1955,"nonHisp"
"47093","Knox County","Tennessee","asam",9922,"nonHisp"
"47093","Knox County","Tennessee","paci",114,"nonHisp"
"47093","Knox County","Tennessee","othr",1377,"nonHisp"
"47093","Knox County","Tennessee","mixd",12473,"nonHisp"
"47093","Knox County","Tennessee","total",21464,"Hisp"
"47093","Knox County","Tennessee","white",17506,"Hisp"
"47093","Knox County","Tennessee","afam",238,"Hisp"
"47093","Knox County","Tennessee","natv",516,"Hisp"
"47093","Knox County","Tennessee","asam",179,"Hisp"
"47093","Knox County","Tennessee","paci",0,"Hisp"
"47093","Knox County","Tennessee","othr",2251,"Hisp"
"47093","Knox County","Tennessee","mixd",774,"Hisp"
"47113","Madison County","Tennessee","total",97984,NA
"47113","Madison County","Tennessee","total",NA,"nonHisp"
"47113","Madison County","Tennessee","white",NA,"nonHisp"
"47113","Madison County","Tennessee","afam",NA,"nonHisp"
"47113","Madison County","Tennessee","natv",NA,"nonHisp"
"47113","Madison County","Tennessee","asam",NA,"nonHisp"
"47113","Madison County","Tennessee","paci",NA,"nonHisp"
"47113","Madison County","Tennessee","othr",NA,"nonHisp"
"47113","Madison County","Tennessee","mixd",NA,"nonHisp"
"47113","Madison County","Tennessee","total",NA,"Hisp"
"47113","Madison County","Tennessee","white",NA,"Hisp"
"47113","Madison County","Tennessee","afam",NA,"Hisp"
"47113","Madison County","Tennessee","natv",NA,"Hisp"
"47113","Madison County","Tennessee","asam",NA,"Hisp"
"47113","Madison County","Tennessee","paci",NA,"Hisp"
"47113","Madison County","Tennessee","othr",NA,"Hisp"
"47113","Madison County","Tennessee","mixd",NA,"Hisp"
"47119","Maury County","Tennessee","total",96387,NA
"47119","Maury County","Tennessee","total",NA,"nonHisp"
"47119","Maury County","Tennessee","white",NA,"nonHisp"
"47119","Maury County","Tennessee","afam",NA,"nonHisp"
"47119","Maury County","Tennessee","natv",NA,"nonHisp"
"47119","Maury County","Tennessee","asam",NA,"nonHisp"
"47119","Maury County","Tennessee","paci",NA,"nonHisp"
"47119","Maury County","Tennessee","othr",NA,"nonHisp"
"47119","Maury County","Tennessee","mixd",NA,"nonHisp"
"47119","Maury County","Tennessee","total",NA,"Hisp"
"47119","Maury County","Tennessee","white",NA,"Hisp"
"47119","Maury County","Tennessee","afam",NA,"Hisp"
"47119","Maury County","Tennessee","natv",NA,"Hisp"
"47119","Maury County","Tennessee","asam",NA,"Hisp"
"47119","Maury County","Tennessee","paci",NA,"Hisp"
"47119","Maury County","Tennessee","othr",NA,"Hisp"
"47119","Maury County","Tennessee","mixd",NA,"Hisp"
"47125","Montgomery County","Tennessee","total",208993,NA
"47125","Montgomery County","Tennessee","total",187581,"nonHisp"
"47125","Montgomery County","Tennessee","white",129659,"nonHisp"
"47125","Montgomery County","Tennessee","afam",40881,"nonHisp"
"47125","Montgomery County","Tennessee","natv",515,"nonHisp"
"47125","Montgomery County","Tennessee","asam",3959,"nonHisp"
